SortNo,Music_Title,Nickname,Artist,BPM,Side,Pack,Version,FTR_Level,FTR_Const,BYD_Level,BYD_Const
146,BATTLE NO.1,ばとるなんばーわん,TANO*C Sound Team,200,Tairitsu,Memory Archive,2.04,9.7,9.7,,
147,La'qryma of the Wasteland,らくりまおぶざうえすとらんど,DJ Noriken,168,Tairitsu,Memory Archive,2.05,9,9.1,,
148,Einherjar Joker,えいんへりあるじょーかー,DJ Genki vs Gram,222,Tairitsu,Memory Archive,2.05,9.7,9.8,,
149,IZANA,いざな,t+pazolite vs P*Light,222,Hikari,Memory Archive,2.05,10,10.3,,
150,最強STRONGER,さいきょうすとろんがー,REDALiCE vs USAO,205,Tairitsu,Memory Archive,2.05,11,11,,
151,world.execute(me);,わーるどえぐぜきゅーとみー,Mili,130,Hikari,Arcaea,2.05,8,8,,
152,BLRINK,ぶりんく,Sta,115,Tairitsu,Adverse Prelude,2.05,9.7,9.7,,
153,Oblivia,おぶりびあ,Saiph,180,Hikari,Arcaea,2.06,8,8.3,,
154,amygdata,あみぐでーた,nitro,154,Tairitsu,Memory Archive,2.06,9.7,9.7,,
155,corps-sans-organes,こーぷすさんずおるがん,cybermiso,105,Tairitsu,Ambivalent Vision,2.06,10,10.6,,
156,Equilibrium,えくいりぶりむ,Maozon,180,Hikari,Black Fate,3,9,9.4,,
157,Antagonism,あんたごにずむ,Yooh vs. siromaru,160,Tairitsu,Black Fate,3,9.7,9.9,,
158,Lost Desire,ろすとでざいあ,Powerless feat. Sennzai,170,Tairitsu,Black Fate,3,9.7,9.8,,
159,Dantalion,だんたりおん,Team Grimoire,186,Tairitsu,Black Fate,3,10.7,10.9,,
160,#1f1e33,はっしゅわんえふわんいーすりーすりー,かめりあ(EDP),181,Tairitsu,Black Fate,3,10.7,10.9,,
161,Tempestissimo,てんぺすてぃっしも,t+pazolite,231,Tairitsu,Black Fate,3,10.7,10.7,,
162,Arcahv,あーかヴ,Feryquitous,191,Hikari,Black Fate,3,9.7,9.9,,
163,Vivid Theory,びびっとせおりー,ak+q,178,Hikari,Extend Archive,3,8,8.8,,
164,1F√,いふるーと,WHITEFISTS,130,Hikari,Extend Archive,3,8,8.2,,
165,Gekka (Short Version),げっか,Nhato,132,Hikari,Extend Archive,3,8,8.6,,
166,Give Me a Nightmare,ぎぶみーあないとまーれ,アリスシャッハと魔法の楽団,190,Tairitsu,Extend Archive,3,8,8.9,,
167,Black Lotus,ぶらっくろーたす,wa.,200,Tairitsu,Extend Archive,3,9.7,9.7,,
168,Altale,あるたいる,Sakuzyo,90,Hikari,Memory Archive,3,9.7,9.7,,
169,Faint Light (Arcaea Edit),ふぁいんとらいと,Taishi,133,Hikari,Extend Archive,3,9,9.1,,
170,Feels So Right feat. Renko,ふぃーるそーらいと,Mysteka,180,Hikari,Memory Archive,3,9,9.3,,
171,Scarlet Cage,すかーれっとけーじ,Daisuke Kurosawa,166,Tairitsu,Memory Archive,3,9.7,9.8,,
172,Teriquma,てりくま,owl*tree,128,Tairitsu,Memory Archive,3,9,9.4,,
173,MAHOROBA,まほろば,Zekk,195,Hikari,Memory Archive,3,9,9.5,,
174,Vexaria,ヴぇくせりあ,ak+q,180,Hikari,Arcaea,3,,,8,8.8
175,Fairytale,ふぇありーている,chitose,189,Hikari,Arcaea,3,,,9,9.5
176,Infinity Heaven,いんふぃにてぃーへぶん,HyuN,160,Hikari,Arcaea,3,,,9,9.6
177,GOODTEK(Arcaea Edit),ぐっとてっく,EBIMAYO,190,Hikari,Arcaea,3,,,9.7,9.8
178,Tempestissimo,てんぺすてぃっしも,t+pazolite,231,Tairitsu,Black Fate,3,,,11,11.5
179,BADTEK,ばっとてっく,EBIMAYO,190,Tairitsu,Memory Archive,3.01,9.7,9.7,,
180,Malicious Mischance,まりしゃすみすちゃんす,s-don,155,Tairitsu,Memory Archive,3.01,10,10.2,,
181,Purgatorium,ぷるがとりうむ,お月さま交響曲,150,Tairitsu,Arcaea,3.01,,,9,9.6
182,Dement ~after legend~,でぃめんと,Cosmograph,210,Tairitsu,Arcaea,3.01,,,9.7,9.9
183,Got hive of Ra,ごっとはいぶおぶら,E.G.G,268,Hikari,Groove Coaster,3.02,9.7,9.8,,
184,BUCHiGiRE Berserker,ぶちぎればーさーかー,REDALiCE vs MASAKI,200,Tairitsu,Memory Archive,3.02,10.7,10.9,,
185,Galaxy Friends,ぎゃらくしーふれんず,Kobaryo,300,Tairitsu,Memory Archive,3.02,9.7,9.8,,
186,CROSS♰OVER,くろすおーばー,HyuN Feat. LyuU,200,Tairitsu,Extend Archive,3.02,9,9.4,,
187,Lapis,らぴす,SHIKI,146,Hikari,Extend Archive,3.02,9,9.4,,
188,Xeraphinite,せらふぃないと,BlavkY,146,Hikari,Memory Archive,3.02,9.7,9.8,,
189,Xanatos,たなとす,Tatsh,170,Tairitsu,Memory Archive,3.02,10,10,,
190,Lumia,るみあ,sky_delta,180,Hikari,Arcaea,3.02,,,9,9.5
191,Alice a la mode,ありすあらもーど,Masanori Akita,134,Hikari,Ephemeral Page,3.03,9,9.2,,
192,Eccentric Tale,えくせんとりっくてーる,Yamajet,132,Tairitsu,Ephemeral Page,3.03,8,8.4,,
